#{"t_start": 1719057678.082829, "env_id": "LunarLander-v2"}
r,l,t
9.830057,1000,34.404825
-123.965571,928,34.5935
39.634605,1000,35.223982
-127.429059,889,35.40144
10.630007,1000,36.067744
-122.958697,755,36.216738
28.506303,1000,36.854172
-43.763982,1000,37.051511
-16.785507,1000,37.759942
96.337357,781,37.926507
-129.06981,584,38.038738
48.755405,1000,38.716306
124.608877,696,38.856633
-107.189655,529,38.962618
-62.862927,1000,39.629338
-38.457701,1000,39.847113
10.674455,974,40.500803
-178.152117,883,40.684528
-46.198037,1000,41.33999
-165.394995,645,41.473809
-89.430187,407,41.556381
-9.031037,1000,42.230206
-95.026936,442,42.318263
-113.496374,659,42.448076
-174.537034,833,43.048547
-120.978894,715,43.193196
-33.569211,636,43.321163
-108.428882,513,43.899491
-69.960509,1000,44.10093
-199.795636,846,44.715483
-129.497898,738,44.862277
-189.360157,943,45.048764
-65.469461,539,45.623517
-35.329306,1000,45.825382
-83.05242,1000,46.491097
-215.364261,962,46.69041
-112.727232,518,46.792517
-169.708305,828,47.414502
-38.817418,1000,47.620624
-160.795078,690,48.210162
-98.07272,1000,48.411938
-35.085342,1000,49.033582
-215.019173,949,49.223743
-6.853032,1000,49.855592
-128.409424,540,49.965206
-19.608181,1000,50.163675
-149.650113,747,50.780196
113.262806,797,50.944142
-87.231296,508,51.043236
-142.585256,779,51.685297
-74.889174,1000,51.886993
78.998933,911,52.514808
-156.323309,776,52.672753
-21.373712,1000,52.868783
-61.794446,420,53.378083
-71.774122,1000,53.580267
32.662271,1000,54.191926
131.859852,564,54.306871
62.833734,1000,54.515127
76.235506,1000,55.162199
151.308008,626,55.288892
113.591429,914,55.922872
32.653317,1000,56.129969
-45.307367,1000,56.779421
-34.86337,1000,56.983367
-44.085231,1000,57.649812
-109.675602,552,57.763685
-71.154512,352,57.835395
-71.442388,1000,58.544788
139.173597,814,58.712958
-65.268741,1000,58.911414
-128.631013,601,59.501771
-42.850826,617,59.628046
65.458972,1000,59.828543
15.99866,1000,60.58215
9.226008,1000,60.784869
-93.728286,1000,61.449498
-168.581182,782,61.606597
-63.057656,1000,62.249161
-82.845953,1000,62.451928
-61.838193,1000,63.094512
45.928928,1000,63.299065
92.722322,894,63.94145
125.441208,746,64.0941
30.787101,1000,64.736181
-68.74822,477,64.831934
-84.939651,495,64.93063
-60.521561,1000,65.599279
18.183068,1000,65.806506
-38.623801,540,65.915538
196.143498,636,66.497033
-26.765287,1000,66.703235
-0.46459,1000,67.329936
71.117005,1000,67.545287
69.345247,1000,68.216763
39.744201,1000,68.423012
46.635456,1000,69.143573
34.615082,1000,69.349697
70.56451,1000,69.993254
39.37571,1000,70.211911
21.589685,1000,70.410082
157.61874,590,71.075361
171.672334,556,71.189056
173.348055,897,71.372274
-113.959472,643,71.970523
93.026814,1000,72.175229
112.347657,800,72.852875
58.21765,1000,73.060683
62.694226,1000,73.985686
159.534819,713,74.140015
59.608376,1000,74.412594
61.897977,1000,75.120861
168.617379,612,75.248635
56.223876,1000,76.02231
86.9356,1000,76.239022
169.036241,641,76.889285
-56.632672,574,77.008175
-136.44938,926,77.196274
47.810486,1000,77.921286
174.416947,732,78.073291
-42.946375,1000,78.977243
74.34678,1000,79.195555
-87.699649,570,79.311153
54.428941,1000,80.066806
174.316367,509,80.171017
-110.802502,930,80.958493
47.903671,1000,81.173076
82.44594,1000,81.959674
-108.160591,758,82.123656
162.095589,637,82.251477
59.648408,1000,83.251178
58.958392,1000,83.471648
145.819275,635,84.136166
55.878295,1000,84.3678
35.74289,1000,85.11862
175.14367,773,85.282938
22.560567,1000,85.510873
-104.001339,486,86.107553
154.617856,506,86.216555
-66.409863,505,86.318741
141.255652,617,86.479759
-39.297279,452,87.456126
143.409166,555,87.583674
86.832,1000,87.807362
56.784585,1000,88.800103
79.506639,889,89.000917
170.933647,603,89.933336
41.623767,1000,90.155628
-89.517473,768,90.314604
65.510284,1000,91.169543
126.568544,691,91.317717
-101.640003,770,92.104361
55.59337,981,92.31334
71.171643,1000,93.232782
84.809405,1000,93.470623
-73.65298,1000,94.457143
43.026695,1000,94.680156
-201.919777,523,94.794355
107.019802,759,95.639968
67.442543,1000,95.866429
52.237064,1000,96.965402
-66.269216,486,97.079999
132.140191,732,97.241062
156.681599,445,98.08506
-43.340668,453,98.180979
114.26116,783,98.353437
5.648534,1000,99.569385
62.553543,1000,99.790872
80.316812,1000,100.775759
159.067245,651,100.917431
74.899615,1000,101.141889
73.399716,1000,102.28943
-98.782941,741,102.492316
59.866234,1000,103.606366
-74.636556,432,103.705189
154.078355,600,103.837245
-47.408292,509,103.950768
157.693653,590,104.932465
-75.833277,484,105.038042
-47.571006,526,105.154429
71.448595,1000,106.110903
-83.013013,463,106.211143
68.192664,1000,106.441398
-76.606556,610,107.628596
48.300412,1000,107.848441
48.842017,1000,108.547574
67.904414,1000,108.763438
82.795373,1000,109.525109
87.181522,1000,109.742871
41.054238,1000,110.457928
41.527936,1000,110.679301
91.438,1000,111.399493
58.28507,1000,111.614604
-58.054748,646,111.776868
-89.689745,597,112.47416
164.226036,567,112.596918
83.289186,1000,113.265519
120.554989,758,113.427708
-99.493808,648,113.55702
67.539105,1000,114.198581
160.643719,628,114.327994
40.737494,1000,114.582851
62.627023,1000,115.312659
80.615498,1000,115.525647
64.679899,1000,116.276077
64.852197,1000,116.497562
123.699965,740,117.13224
51.680296,1000,117.341333
71.066912,1000,118.048132
60.562573,1000,118.268975
-88.851353,584,118.954423
-86.347068,511,119.05938
79.503338,1000,119.265721
195.688797,643,119.83108
85.957635,1000,120.03731
92.726222,1000,120.67431
81.01488,1000,120.884522
-72.225541,649,121.01259
67.946434,1000,121.644211
77.933341,1000,121.848989
61.18924,1000,122.489172
-55.098368,635,122.614429
163.030446,676,122.759939
127.679775,643,123.334865
-84.222554,632,123.488918
144.512418,922,124.248316
73.992952,1000,124.459172
-71.637216,593,124.575694
-88.135992,567,125.105557
100.138518,727,125.252825
55.951795,1000,125.45665
159.607191,689,126.132598
-95.541866,522,126.236873
29.031858,1000,126.937106
137.233037,850,127.116589
148.821535,759,127.268989
133.599699,865,127.897167
125.362446,792,128.05541
-59.769416,545,128.160296
162.136287,692,128.786526
-146.514183,691,128.926374
98.209286,736,129.074
-98.83866,634,129.66518
71.124691,1000,129.871344
-176.945117,505,129.971072
84.938658,1000,130.608956
52.271615,1000,130.812994
69.654469,1000,131.457878
29.120697,1000,131.664249
48.143999,1000,132.320238
76.670273,1000,132.527573
176.484921,717,133.101383
57.623125,1000,133.30882
-64.506544,447,133.39864
148.219694,588,133.989197
80.253357,1000,134.194985
165.616803,737,134.780411
150.581877,631,134.910351
139.275954,806,135.077148
69.178724,1000,135.752528
-118.153912,577,135.867057
96.237171,1000,136.506326
155.896261,584,136.626965
133.434001,596,136.748977
82.943256,1000,137.466412
108.678674,1000,137.676977
-138.385114,583,137.792628
-77.88843,553,138.383742
146.458113,639,138.515707
-74.052982,568,138.62766
-69.42091,399,138.705803
65.826918,1000,139.410201
-60.647161,617,139.53359
-61.429006,582,140.082903
163.015994,664,140.219771
144.482407,618,140.344048
167.952186,679,140.48196
94.12385,1000,141.122412
109.778912,637,141.250032
-68.402794,555,141.831944
149.555307,613,141.957887
46.158677,1000,142.164461
67.862048,1000,142.803624
66.795083,1000,143.010277
-44.510656,559,143.560944
77.537867,1000,143.801141
-16.574702,335,143.868472
154.540663,443,143.956636
65.280123,1000,144.591842
169.517001,619,144.716184
135.965404,703,145.301699
-103.808225,594,145.425318
-88.7682,427,145.51179
168.375664,686,145.650426
63.572477,1000,146.283481
125.080803,500,146.384566
160.061526,661,146.518004
-54.444853,366,147.039176
-105.823206,423,147.126139
-65.951846,370,147.200953
170.564005,474,147.297424
-89.761792,497,147.827656
68.80442,1000,148.036492
65.190482,1000,148.701764
-108.779506,496,148.80319
-94.080603,570,148.918119
-78.30347,452,149.006417
110.003083,662,149.580999
-141.31504,547,149.69239
81.218688,1000,149.898999
166.048708,665,150.462333
-53.587054,631,150.589487
158.122353,553,150.699437
91.195453,1000,151.362978
63.403401,1000,151.572041
-167.229544,587,151.686555
146.54308,700,152.320086
20.677598,1000,152.527068
68.722635,1000,153.193072
155.377679,994,153.404128
93.297824,1000,154.050767
77.407635,1000,154.255844
137.113831,720,154.843217
127.010601,773,155.00175
-89.460145,353,155.071796
177.015822,716,155.670513
