#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
-109.614754,106,12.271667
-0.950449,172,12.329317
-8.714318,164,12.379991
-36.749221,146,12.453017
51.918515,166,12.503816
-38.619134,159,12.551493
-7.677389,140,12.590014
-91.40634,155,12.636014
7.691407,285,12.720558
26.818546,211,12.802004
-25.848803,179,12.850763
-80.342277,207,12.917473
0.610615,143,12.968284
-68.36038,89,12.996155
-35.069448,165,13.044306
-117.939471,159,13.085106
-119.577308,243,13.154849
-45.166929,159,13.20139
-46.122974,212,13.2629
-77.249831,146,13.311123
-59.695925,153,13.357899
-80.978299,128,13.401135
-106.373733,221,13.470539
-183.867275,175,13.516185
-89.062322,150,13.554301
-51.33336,107,13.580495
-94.450585,163,13.620501
-50.443007,190,13.668389
-225.976625,108,13.695312
-78.58436,111,13.724022
-84.882739,187,13.774304
-69.789376,128,13.811652
-87.433184,204,13.86358
-212.746438,298,13.940438
10.559781,222,14.002997
-84.082748,113,14.029924
-45.167894,137,14.064252
-9.325488,192,14.122691
-108.324093,108,14.149998
-80.344337,147,14.185799
-21.105564,170,14.232329
-29.054287,208,14.294544
-97.563767,144,14.335055
-96.942391,143,14.373565
-68.44121,234,14.439162
-22.788071,264,14.519393
-81.872733,206,14.572641
-96.130442,102,14.598657
-84.976509,160,14.641107
-79.100261,240,14.709045
-78.402845,127,14.746421
-68.917288,220,14.808759
-102.197877,78,14.829953
-241.640617,189,14.879748
-32.312499,180,14.925174
-106.627786,157,14.962521
-52.709945,172,15.005576
-70.85361,1000,15.262035
-103.844765,238,15.322773
-72.105497,135,15.355474
-79.677128,422,15.467098
-33.422245,180,15.513259
7.418209,244,15.575023
-6.591856,235,15.633569
-135.704856,140,15.669023
-39.799525,303,15.745903
19.265292,1000,16.008892
5.874372,1000,16.27053
65.611038,1000,16.541792
-26.977835,178,16.595842
-80.415963,174,16.640055
-37.305341,225,16.69836
-57.916255,434,16.819438
-185.829844,192,16.879734
-133.754011,210,16.935254
-20.686759,160,16.98365
-67.78699,223,17.046545
-17.655177,141,17.083349
19.843426,349,17.17178
-51.752475,367,17.263966
-82.873135,70,17.282247
-65.600796,290,17.359289
-64.460035,191,17.41991
-91.976835,242,17.487224
43.588219,201,17.540427
1.794762,244,17.606324
-66.497275,250,17.67752
-160.85791,657,17.873609
-14.465384,255,17.939039
-35.248323,325,18.02746
-46.810732,170,18.074217
-131.207643,542,18.216436
-15.934698,161,18.265248
-24.170916,196,18.32148
-3.886275,225,18.383001
-14.227069,163,18.432228
33.319177,1000,18.7178
-51.436613,162,18.777503
-105.910085,581,18.965677
-25.704214,102,18.991567
-1.078837,1000,19.281104
-94.128289,255,19.360832
27.454697,1000,19.634103
-89.549362,256,19.707032
-41.915857,326,19.798571
-84.369355,1000,20.11872
-32.231264,1000,20.38239
-89.554032,1000,20.653801
41.365127,1000,20.931893
-168.641396,269,21.001471
-73.223267,272,21.071838
38.496082,1000,21.348079
-8.602116,1000,21.617826
-25.692016,1000,21.889884
-37.790789,1000,22.177872
-62.320818,1000,22.526117
-116.167325,1000,22.864334
-122.294268,1000,23.143937
-99.504807,1000,23.433013
-78.557442,1000,23.73988
-76.967284,1000,24.023157
-48.343569,1000,24.341106
-62.869752,1000,24.625762
-94.628976,1000,24.982619
-133.702187,1000,25.317681
-109.196402,1000,25.700995
-96.594067,1000,25.97835
-84.021605,1000,26.27491
-92.979252,1000,26.563378
-84.640073,1000,26.862915
-108.865071,1000,27.151007
-107.268935,1000,27.465882
-89.765183,1000,27.747854
-57.834089,1000,28.092186
-139.863258,1000,28.385721
-81.549105,1000,28.663585
-117.798502,1000,28.953624
-129.067978,1000,29.25149
-94.839981,1000,29.531287
-83.133841,1000,29.803937
-96.911667,1000,30.095183
-69.067117,1000,30.41119
-90.892751,1000,30.691801
-131.579884,1000,30.980833
-99.214944,1000,31.293059
-106.071048,1000,31.575162
-126.199627,1000,31.856783
-144.216345,1000,32.145685
-61.294568,1000,32.449576
-56.05968,1000,32.738291
